BYU MFR Coal Combustion Model
*****************************
* Coded by: Andrew Mackrory *
Date: 16-Mar-2016 
Time: 17:45 
Model Inputs
============
Methane Through Burner: 0.373 kg/hr
Coal: 0.877 kg/hr
Coal Name: Wyoming Subbituminous
Burner Air: 11.1809 kg/hr
Burner Bottled O2: 0 kg/hr
Burner Bottled CO2: 0 kg/hr
Burnout Air: 7.2391 kg/hr
Burnout Bottled O2: 0 kg/hr
Burnout Bottled CO2: 0 kg/hr
NO in CO2: 0 ppm
Initial Gas Temperature: 300 K
Burnout Oxidizer Temperature: 522 K
Pressure: 0.83888 atm
Gas Phase Mechanism: GRI 3.0
Thermal NOx Mechanism Enabled
Prompt NOx Mechanism Enabled
Char gasification by CO2 Enabled
Percent of O2 Char Oxidation Energy to Char: 0
Percent of CO2 Char Gasification Energy from Char: 0
Burner Emissivity: 0.4
Reactor Wall Emissivity: 0.5
Exhaust Tube Emissivity: 0.999
Coal Particle Emissivity: 0.7
Burner Temperature: 400 K
Exhaust Tube Temperature: 900 K
Reactor Wall Temperature Profile (m, K):
0	400
0.02	1140
0.045	1203
0.071	1235
0.096	1269
0.122	1286
0.147	1285
0.172	1280
0.198	1268
0.413	1324
0.879	1216
1.171	1118
1.475	1046
1.751	914
k_wall (Empirical Wall Thermal Conductivity Parameter): 400
Coal Ultimate Analysis: (DAF wt%)
C: 70.56
H: 4.18
N: 1.04
O: 23.63
S: 0.59 (Not used in model)
Coal Moisture Content (as received): 8.46%
Coal Ash Content (as received): 6.02%
ASTM Volatiles (DAF): 49.72 %
Estimated C13 NMR Parameters for Coal:
mw1: 321.4255
p0: 0.67259
c0: 0.15
sigp1: 5.0639
mdel: 42.5487
Initial Particle Apparent Density: 0.7 g/cm^3
Initial Particle Diameter: 121 um
Swelling Factor: 0
Gas species are reported as mass fractions below.
		Molecular Weight of Species (kg/kmol):	2.015880e+00	1.007940e+00	1.599940e+01	3.199880e+01	1.700734e+01	1.801528e+01	3.300674e+01	3.401468e+01	1.201100e+01	1.301894e+01	1.402688e+01	1.402688e+01	1.503482e+01	1.604276e+01	2.801040e+01	4.400980e+01	2.901834e+01	3.002628e+01	3.103422e+01	3.103422e+01	3.204216e+01	2.502994e+01	2.603788e+01	2.704582e+01	2.805376e+01	2.906170e+01	3.006964e+01	4.102934e+01	4.203728e+01	4.203728e+01	1.400674e+01	1.501468e+01	1.602262e+01	1.703056e+01	2.902142e+01	3.000614e+01	4.600554e+01	4.401288e+01	3.101408e+01	2.601774e+01	2.702568e+01	2.803362e+01	4.103242e+01	4.302508e+01	4.302508e+01	4.302508e+01	4.201714e+01	2.801348e+01	3.994800e+01	4.308858e+01	4.409652e+01	4.304522e+01	4.405316e+01
Axial Position (m)	Gas Temperature (K)	Gas Pressure (Pa)	H2	H	O	O2	OH	H2O	HO2	H2O2	C	CH	CH2	CH2(S)	CH3	CH4	CO	CO2	HCO	CH2O	CH2OH	CH3O	CH3OH	C2H	C2H2	C2H3	C2H4	C2H5	C2H6	HCCO	CH2CO	HCCOH	N	NH	NH2	NH3	NNH	NO	NO2	N2O	HNO	CN	HCN	H2CN	HCNN	HCNO	HOCN	HNCO	NCO	N2	AR	C3H7	C3H8	CH2CHO	CH3CHO	Gas Mass Flow (kg/s)	Residence Time (ms)	Particle Temperature (K)	fvol	fchar	fcross	ftar	fmet	 Trate	MW	Nsite	Nchar	fnchar	fntar	fnhcn	fntot	fgas	fH2O	fCO2	fCH4	fCO	fOth	yH2O	yCO2	yCH4	yCO	yOther	Xgas	Coal Moisture %	O2 Consumptionby Char (kg/s)	CO2 Consumption by Char (kg/s)	DAF Char Flux (kg/s)	Gas Phase Chemical Equivalence Ratio	NOx (ppm, excluding H2O)	CO (ppm, excluding H2O)	O2 (vol%, excluding H2O)	CO2 (vol%, excluding H2O)	Nitrogen Conversion Efficiency	MW of Gas mixture	Particle Diameter (um)
0	 300	 85000	0	0	0	2.254872e-01	0	0	0	0	0	0	0	0	0	3.228488e-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.422279e-01	0	0	0	0	0	3.209428e-03	 0	 300	 0	 1	 0	 0	 0	 0	3.214255e+02	 3.000000e-02	 1.040000e-02	 1	 0	 0	 0	 0	 0	0	 0	 0	 0	 0	 0	 0	 0	 0	0	 8.460000e+00				 5.711654e-01	 0	 0	 1.982001e+01	 0	0	 2.812580e+01	 0
2.000000e-03	 1.525405e+03	 8.500000e+04	8.705527e-05	2.152320e-05	7.173799e-04	1.010594e-01	1.310975e-03	7.029121e-02	3.266619e-05	8.682237e-07	1.872851e-10	8.954447e-09	5.253978e-07	4.974205e-08	1.974023e-05	2.140321e-04	6.799734e-03	7.717243e-02	1.547534e-06	3.887597e-05	1.137641e-07	6.346799e-08	2.060530e-06	8.090746e-12	1.171723e-08	2.239797e-09	1.286891e-07	8.500382e-09	5.268340e-08	5.986745e-09	1.757816e-07	1.914902e-10	1.524748e-10	2.878146e-10	1.007043e-10	7.720890e-11	6.066176e-10	2.247717e-06	5.079660e-09	5.599812e-07	5.175827e-10	7.177105e-12	2.115230e-08	7.269763e-13	8.599695e-11	2.228389e-09	1.247524e-10	1.703620e-08	9.566542e-10	7.422265e-01	4.077886e-24	7.178085e-13	1.465032e-11	1.650802e-09	6.104806e-08	3.209428e-03	 3.060000e+00	 3.135612e+02	 0	 1	 1.014634e-36	 0	 4.387280e-03	 3.011944e+04	3.214255e+02	 3.154674e-02	 1.040000e-02	 1	 0	 0	 0	 0	 0	0	 0	 0	 0	 0	 9.930000e-01	 0	 0	 7.000000e-03	0	 8.460000e+00				 5.711654e-01	 2.355123e+00	 7.621053e+03	 9.914831e+00	 5.504973e+00	 1.556495e-03	2.796789e+01	 121
4.000000e-03	 1.588617e+03	 8.500000e+04	2.201018e-05	3.708171e-06	2.626507e-04	9.705837e-02	9.055179e-04	7.179068e-02	7.386932e-06	3.410497e-07	1.378935e-13	3.545408e-11	7.250900e-09	5.959661e-10	3.374449e-07	2.457162e-06	1.473195e-03	8.624307e-02	1.305059e-08	6.130047e-07	1.320269e-09	6.092997e-10	4.414117e-08	2.019307e-13	3.382693e-10	1.879013e-11	1.535504e-09	2.808923e-11	1.816237e-10	1.242920e-10	4.239710e-09	2.933576e-11	9.113649e-12	4.292413e-11	1.417218e-11	1.931550e-11	1.129054e-10	2.571596e-06	7.653961e-09	8.727811e-07	1.739595e-10	6.786084e-13	2.483199e-09	3.473085e-15	2.871691e-13	4.955759e-10	6.883893e-11	3.559275e-09	1.908030e-10	7.422261e-01	-3.585746e-23	1.349755e-15	4.758939e-14	8.277441e-12	5.867652e-10	3.209428e-03	 4.510000e+00	 4.166231e+02	 1.409020e-11	 1.000000e+00	 1.008652e-25	 0	 4.387280e-03	 7.502348e+04	3.214255e+02	 3.154674e-02	 1.040000e-02	 1.000000e+00	 0	 1.433631e-12	 1.433649e-12	 1.409020e-11	 0	1.399157e-11	 0	 0	 9.863140e-14	 0	 9.930000e-01	 0	 0	 7.000000e-03	2.195055e-11	 0				 5.711654e-01	 2.715170e+00	 1.663041e+03	 9.590947e+00	 6.196365e+00	 1.781605e-03	2.808159e+01	 121
6.000000e-03	 1.643601e+03	 8.500000e+04	8.689494e-06	8.276739e-07	9.879952e-05	9.600595e-02	6.410347e-04	7.800133e-02	2.566059e-06	1.517473e-07	2.618070e-16	3.048965e-13	1.284812e-10	1.024655e-11	8.373108e-09	4.504229e-08	4.454877e-04	8.730129e-02	1.566910e-10	1.192261e-08	2.187961e-11	1.009076e-11	1.132567e-09	7.374697e-15	1.538806e-11	2.321466e-13	2.717710e-11	9.342018e-14	8.929352e-13	2.828460e-12	1.241232e-10	6.372198e-12	3.901518e-12	1.041539e-11	4.754384e-12	1.091551e-11	2.646205e-11	2.661855e-06	9.063327e-09	9.370070e-07	5.705361e-11	1.029653e-13	4.912125e-10	9.578691e-17	1.997172e-15	2.286831e-10	4.944488e-11	1.312943e-09	4.982658e-11	7.374902e-01	5.194348e-23	4.155134e-18	2.391635e-16	6.571579e-14	7.682617e-12	3.230037e-03	 5.910000e+00	 5.135358e+02	 3.096993e-07	 9.999997e-01	 4.172803e-19	 9.385532e-13	 4.388546e-03	 6.465669e+04	3.214254e+02	 3.154674e-02	 1.040000e-02	 1.000000e+00	 9.385532e-13	 3.151227e-08	 3.151321e-08	 3.096984e-07	 0	3.075305e-07	 0	 0	 2.167906e-09	 0	 9.929999e-01	 0	 0	 7.000057e-03	4.824664e-07	 0				 5.817438e-01	 2.833670e+00	 5.069067e+02	 9.562601e+00	 6.322413e+00	 1.856497e-03	2.800723e+01	 121
8.000000e-03	 1.639580e+03	 8.500000e+04	4.099319e-06	2.707533e-07	4.691641e-05	9.596118e-02	4.416114e-04	7.815344e-02	1.360022e-06	9.458218e-08	1.332644e-18	4.761890e-15	3.244775e-12	2.304810e-13	2.634741e-10	1.291328e-09	1.824987e-04	8.771472e-02	3.723209e-12	3.421899e-10	4.737389e-13	2.551855e-13	4.043585e-11	2.435844e-13	7.479264e-10	5.066712e-15	7.238780e-13	4.572135e-16	6.595481e-15	9.558912e-12	4.334009e-11	3.341264e-10	1.664257e-12	3.395601e-12	2.369270e-12	7.826347e-12	8.628229e-12	2.706074e-06	1.005712e-08	9.005532e-07	2.383224e-11	2.312953e-14	1.654193e-10	8.063014e-18	3.173354e-17	1.642254e-10	3.729775e-11	6.837668e-10	1.852855e-11	7.374902e-01	2.321666e-20	1.968211e-20	1.797003e-18	1.302572e-15	1.486417e-13	3.230037e-03	 7.260000e+00	 5.964947e+02	 1.511089e-04	 9.998489e-01	 4.161401e-15	 1.868897e-05	 4.369745e-03	 5.661549e+04	3.213873e+02	 3.154674e-02	 1.040124e-02	 9.999678e-01	 1.869016e-05	 1.347441e-05	 3.216457e-05	 1.324199e-04	 0	1.314898e-04	 0	 0	 9.301532e-07	 0	 9.929757e-01	 0	 0	 7.024270e-03	2.062953e-04	 0				 5.817441e-01	 2.883094e+00	 2.077870e+02	 9.564005e+00	 6.356250e+00	 1.887720e-03	2.801569e+01	 121
1.000000e-02	 1.634021e+03	 8.500000e+04	2.356508e-06	1.196637e-07	2.707206e-05	9.594042e-02	3.333777e-04	7.823321e-02	8.773236e-07	6.627676e-08	3.028975e-17	2.453668e-13	1.858225e-10	3.920783e-12	1.063112e-09	7.415333e-10	9.841025e-05	8.787601e-02	1.136773e-10	5.213262e-09	2.165851e-12	1.032855e-12	2.242881e-10	1.408605e-10	5.827882e-07	3.005655e-13	4.511657e-13	4.067849e-17	6.366957e-16	4.351113e-09	2.670346e-08	3.407940e-07	1.108214e-12	5.989523e-12	4.197113e-11	1.731973e-10	3.793890e-12	3.565776e-06	1.341484e-08	8.275300e-07	3.450644e-11	1.688548e-12	1.659687e-08	3.287890e-16	1.670586e-15	1.214408e-09	3.219186e-09	1.469940e-08	4.345780e-10	7.374827e-01	8.740266e-20	1.357568e-22	1.725699e-20	7.685203e-14	4.183317e-15	3.230069e-03	 8.660000e+00	 6.704927e+02	 1.926212e-03	 9.980738e-01	 2.202305e-12	 7.250203e-04	 3.663414e-03	 4.897767e+04	3.210785e+02	 3.154674e-02	 1.041124e-02	 9.991526e-01	 7.255232e-04	 1.218580e-04	 8.473812e-04	 1.201191e-03	 0	1.192518e-03	 0	 0	 8.672973e-06	 0	 9.927797e-01	 0	 0	 7.220310e-03	1.872634e-03	 0				 5.818740e-01	 3.800218e+00	 1.120782e+02	 9.564629e+00	 6.369732e+00	 2.487534e-03	2.801915e+01	 121
1.200000e-02	 1.628162e+03	 8.500000e+04	2.427929e-06	1.271985e-07	2.690503e-05	9.563187e-02	3.288574e-04	7.829833e-02	9.774145e-07	6.881647e-08	3.731365e-16	2.828500e-12	2.188718e-09	4.565550e-11	1.235614e-08	7.598436e-09	1.387220e-04	8.815650e-02	1.326026e-09	6.192781e-08	2.520071e-11	1.218409e-11	2.695993e-09	1.626620e-09	6.938204e-06	3.926293e-12	7.041093e-12	5.140144e-15	8.086367e-14	5.123280e-08	3.186954e-07	3.929432e-06	6.340796e-12	1.157307e-10	1.016991e-09	4.202690e-09	4.008612e-12	3.947633e-06	1.555594e-08	7.772869e-07	5.259903e-10	4.106141e-11	4.133830e-07	8.904033e-15	1.976193e-14	1.435744e-08	7.627942e-08	3.574819e-07	1.058493e-08	7.373983e-01	8.739266e-20	2.522781e-22	1.968009e-20	1.019790e-12	1.351545e-14	3.230439e-03	 1.001000e+01	 7.332529e+02	 7.788046e-03	 9.922120e-01	 4.260206e-11	 3.918379e-03	 4.768166e-04	 4.431001e+04	3.203039e+02	 3.154674e-02	 1.043642e-02	 9.956865e-01	 3.924752e-03	 3.887513e-04	 4.313503e-03	 3.869667e-03	 0	3.839825e-03	 0	 0	 2.984293e-05	 0	 9.922880e-01	 0	 0	 7.712013e-03	6.052109e-03	 0				 5.884073e-01	 4.206355e+00	 1.579394e+02	 9.530889e+00	 6.388172e+00	 2.753517e-03	2.801921e+01	 121
1.400000e-02	 1.627455e+03	 8.500000e+04	4.700123e-06	3.405366e-07	5.056287e-05	9.450846e-02	4.495785e-04	7.843519e-02	1.751426e-06	1.080910e-07	5.196417e-15	1.459244e-11	7.960746e-09	1.660546e-10	3.032582e-08	1.440299e-08	3.127977e-04	8.908598e-02	3.997717e-09	1.661948e-07	9.006144e-11	3.884414e-11	6.681670e-09	4.337160e-09	1.351296e-05	2.057571e-11	2.885569e-11	3.081745e-14	3.521490e-13	1.836291e-07	7.230343e-07	5.693554e-06	4.587981e-11	7.112242e-10	4.256270e-09	1.310147e-08	1.071631e-11	6.648082e-06	2.620324e-08	8.061904e-07	3.029651e-09	1.911406e-10	1.375635e-06	7.940025e-14	1.026016e-13	7.278084e-08	1.879545e-07	1.413947e-06	5.272415e-08	7.371196e-01	8.735963e-20	3.368094e-21	2.138288e-19	5.462653e-12	9.666040e-14	3.231660e-03	 1.141000e+01	 7.903167e+02	 1.483047e-02	 9.851695e-01	 5.429570e-10	 4.326147e-03	 2.203410e-04	 3.810046e+04	3.183795e+02	 3.154674e-02	 1.049950e-02	 9.945948e-01	 4.335366e-03	 1.069851e-03	 5.405217e-03	 1.050432e-02	 0	1.041048e-02	 0	 0	 9.384106e-05	 0	 9.910664e-01	 0	 0	 8.933568e-03	1.643533e-02	 0				 5.944032e-01	 7.084795e+00	 3.561806e+02	 9.420263e+00	 6.456676e+00	 4.638514e-03	2.801886e+01	 121
1.600000e-02	 1.630375e+03	 8.500000e+04	6.357924e-06	5.268954e-07	6.783668e-05	9.309656e-02	5.237980e-04	7.865458e-02	2.179327e-06	1.298100e-07	1.251257e-14	2.243261e-11	1.002832e-08	2.117782e-10	3.226411e-08	1.593227e-08	4.008777e-04	9.042940e-02	4.680789e-09	1.807127e-07	1.152797e-10	4.644317e-11	6.999757e-09	4.764675e-09	1.257956e-05	2.940411e-11	3.379876e-11	3.404537e-14	3.342080e-13	2.290002e-07	7.263320e-07	4.484473e-06	6.787546e-11	9.250274e-10	4.930486e-09	1.339058e-08	1.662276e-11	1.042810e-05	3.920118e-08	8.626619e-07	3.880719e-09	1.976504e-10	1.187932e-06	1.046616e-13	1.567904e-13	1.445312e-07	1.491360e-07	1.560472e-06	6.070856e-08	7.367850e-01	8.731999e-20	4.033860e-21	2.115493e-19	7.751300e-12	1.263788e-13	3.233127e-03	 1.281000e+01	 8.401921e+02	 3.060036e-02	 9.693996e-01	 2.586867e-09	 5.242995e-03	 1.030353e-04	 3.290986e+04	3.140658e+02	 3.154674e-02	 1.064371e-02	 9.921164e-01	 5.266840e-03	 2.616792e-03	 7.883631e-03	 2.535736e-02	 5.383121e-04	2.452372e-02	 0	 0	 2.953263e-04	 2.122903e-02	 9.671244e-01	 0	 0	 1.164657e-02	3.971136e-02	 0				 6.076644e-01	 1.110989e+01	 4.563982e+02	 9.277933e+00	 6.554374e+00	 7.274269e-03	2.802079e+01	 121
1.800000e-02	 1.645227e+03	 8.500000e+04	1.109401e-05	1.169999e-06	1.144937e-04	9.004320e-02	6.987376e-04	7.911520e-02	3.192392e-06	1.705173e-07	1.005499e-13	7.903069e-11	2.309541e-08	5.128039e-10	5.474185e-08	2.730306e-08	6.671145e-04	9.326592e-02	9.780382e-09	3.135594e-07	2.772448e-10	9.493541e-11	1.095409e-08	8.889345e-09	1.669893e-05	8.232543e-11	7.333634e-11	8.651942e-14	6.450808e-13	5.111769e-07	1.027570e-06	3.606274e-06	1.322324e-10	1.361452e-09	4.840609e-09	1.027650e-08	3.742993e-11	1.643839e-05	5.263709e-08	9.415422e-07	5.114222e-09	2.728542e-10	1.141859e-06	2.078660e-13	5.258449e-13	2.879587e-07	8.953542e-08	1.380302e-06	6.734581e-08	7.360370e-01	8.723134e-20	1.559699e-20	5.988165e-19	2.025420e-11	3.733954e-13	3.236412e-03	 1.421000e+01	 8.825359e+02	 6.192469e-02	 9.380753e-01	 2.994150e-08	 7.876106e-03	 2.316484e-04	 2.755763e+04	3.056968e+02	 3.143067e-02	 1.089487e-02	 9.827122e-01	 7.996328e-03	 9.291436e-03	 1.728776e-02	 5.404858e-02	 1.021933e-02	4.292347e-02	 0	 0	 9.057831e-04	 1.890767e-01	 7.941646e-01	 0	 0	 1.675868e-02	8.486836e-02	 0				 6.333055e-01	 1.750395e+01	 7.593845e+02	 8.972178e+00	 6.763275e+00	 1.146287e-02	2.802386e+01	 121
